label_col,split,rows,usable,positive,negative,missing_or_ambiguous,positive_rate
label_event_12h,train,8122,8122,710,7412,0,0.08741689239103669
label_event_12h,val,1642,1642,158,1484,0,0.09622411693057248
label_event_12h,test,1727,1727,147,1580,0,0.08511870295309786
label_event_24h,train,8122,8122,916,7206,0,0.11278010342280227
label_event_24h,val,1642,1642,186,1456,0,0.11327649208282582
label_event_24h,test,1727,1727,199,1528,0,0.11522872032426172
label_event_48h,train,8122,8122,1122,7000,0,0.13814331445456784
label_event_48h,val,1642,1642,227,1415,0,0.13824604141291108
label_event_48h,test,1727,1727,237,1490,0,0.1372321945570353
label_event_72h,train,8122,8122,1224,6898,0,0.15070179758680127
label_event_72h,val,1642,1642,245,1397,0,0.1492082825822168
label_event_72h,test,1727,1727,269,1458,0,0.1557614360162131
label_24h_stable72h,train,8122,7814,916,6898,308,0.11722549270540056
label_24h_stable72h,val,1642,1583,186,1397,59,0.11749842072015161
label_24h_stable72h,test,1727,1657,199,1458,70,0.12009656004828002
label_48h_stable72h,train,8122,8020,1122,6898,102,0.1399002493765586
label_48h_stable72h,val,1642,1624,227,1397,18,0.13977832512315272
label_48h_stable72h,test,1727,1695,237,1458,32,0.13982300884955753
