recommendation,clinical_category,n_features
core,lab_blood_gas_respiration,3
core,vital_blood_pressure,3
core,lab_metabolic,2
core,respiratory_support_intensity,2
core,bedside_glucose,1
core,lab_cbc,1
core,lab_coagulation,1
core,lab_liver_protein,1
core,lab_other,1
core,vital_heart_rate,1
core,vital_temperature,1
reject_or_review_sparse,vital_blood_pressure,3
reject_or_review_sparse,lab_cbc,2
reject_or_review_sparse,lab_other,1
reject_or_review_sparse,respiratory_support_intensity,1
reject_or_review_sparse,vital_oxygen_saturation,1
review,lab_blood_gas_respiration,6
review,lab_electrolyte,3
review,lab_other,3
review,respiratory_support_intensity,2
review,vital_blood_pressure,2
review,lab_liver_protein,1
review,vital_respiratory_rate,1
strong,lab_blood_gas_respiration,4
strong,lab_cbc,3
strong,lab_electrolyte,3
strong,bedside_glucose,2
strong,lab_coagulation,2
strong,lab_other,2
strong,lab_renal,2
strong,vital_blood_pressure,2
strong,lab_liver_protein,1
strong,lab_metabolic,1
strong,vital_oxygen_saturation,1
strong,vital_temperature,1
